Viewing,Participant,Congruency,Alignment,FaceGroup,WithCatch,isCorrect,reactionTime,ExpCode,RT.Z,View_D,Con_D,Ali_D,View_Con,View_Ali,Con_Ali,View_Con_Ali
CFS,603,congruent,aligned,F4,FALSE,1,0.301100529,E1,2.0462343914453553,0,0,0,0,0,0,0
CFS,603,incongruent,aligned,F4,FALSE,1,0.175828733,E1,0.6423192501531086,0,1,0,0,0,0,0
CFS,603,incongruent,misaligned,F1,FALSE,1,0.141455032,E1,0.4442439068478195,0,1,1,0,0,1,0
CFS,603,congruent,aligned,F1,FALSE,0,0.411570739,E1,1.1457193751034371,0,0,0,0,0,0,0
CFS,603,incongruent,aligned,F4,FALSE,1,0.196049844,E1,0.8778558054703942,0,1,0,0,0,0,0
CFS,603,incongruent,aligned,F2,FALSE,1,0.225365375,E1,1.2193246391579742,0,1,0,0,0,0,0
CFS,603,congruent,misaligned,F1,FALSE,1,0.296118124,E1,2.292857040079581,0,0,1,0,0,0,0
CFS,603,incongruent,misaligned,F3,FALSE,1,0.146396208,E1,0.4982193516538942,0,1,1,0,0,1,0
CFS,603,incongruent,misaligned,F2,FALSE,1,0.335531882,E1,2.564262361019834,0,1,1,0,0,1,0
CFS,603,incongruent,misaligned,F5,FALSE,1,0.195993389,E1,1.0399992651000862,0,1,1,0,0,1,0
CFS,603,incongruent,misaligned,M3,FALSE,1,0.15054479,E1,0.543536814291225,0,1,1,0,0,1,0
CFS,603,incongruent,aligned,M3,FALSE,1,0.29087021,E1,1.982328372856244,0,1,0,0,0,0,0
CFS,603,incongruent,aligned,M3,FALSE,1,0.266122418,E1,1.694064801216255,0,1,0,0,0,0,0
CFS,603,congruent,aligned,F1,FALSE,1,0.151220539,E1,0.5096188066215706,0,0,0,0,0,0,0
CFS,603,congruent,aligned,F5,FALSE,1,0.011111786,E1,-0.9268190623029349,0,0,0,0,0,0,0
CFS,603,incongruent,aligned,M5,FALSE,1,0.151013367,E1,0.35326857303760906,0,1,0,0,0,0,0
CFS,603,congruent,aligned,M3,FALSE,1,0.150958451,E1,0.5069318001346119,0,0,0,0,0,0,0
CFS,603,congruent,misaligned,F2,FALSE,1,0.130717474,E1,0.40254574606051796,0,0,1,0,0,0,0
CFS,603,incongruent,misaligned,M1,FALSE,1,0.365436576,E1,2.890929365077078,0,1,1,0,0,1,0
CFS,603,congruent,misaligned,F2,FALSE,1,0.108650094,E1,0.15034469580218834,0,0,1,0,0,0,0
CFS,603,congruent,aligned,M3,FALSE,1,0.201245088,E1,1.0224858118647726,0,0,0,0,0,0,0
CFS,603,incongruent,aligned,M1,FALSE,1,0.051078717,E1,-0.8107754410543245,0,1,0,0,0,0,0
CFS,603,congruent,aligned,M5,FALSE,1,0.105413686,E1,0.03999291318821691,0,0,0,0,0,0,0
CFS,603,congruent,aligned,F5,FALSE,1,7.29466e-4,E1,-1.0332617883708222,0,0,0,0,0,0,0
CFS,603,congruent,misaligned,M4,FALSE,1,0.136292827,E1,0.4662646779029447,0,0,1,0,0,0,0
CFS,603,congruent,aligned,F4,FALSE,1,8.30187e-4,E1,-1.0322291658151426,0,0,0,0,0,0,0
CFS,603,congruent,misaligned,M2,FALSE,1,5.76183e-4,E1,-1.0847975757191817,0,0,1,0,0,0,0
CFS,603,congruent,aligned,F5,FALSE,1,0.240978608,E1,1.4298460343461565,0,0,0,0,0,0,0
CFS,603,congruent,misaligned,M5,FALSE,1,0.241033502,E1,1.6633124579188043,0,0,1,0,0,0,0
CFS,603,incongruent,misaligned,F1,FALSE,1,0.256163425,E1,1.6972728487768334,0,1,1,0,0,1,0
CFS,603,incongruent,misaligned,F5,FALSE,1,0.205748139,E1,1.1465562811266472,0,1,1,0,0,1,0
CFS,603,congruent,aligned,M4,FALSE,1,0.180527837,E1,0.8100862062782889,0,0,0,0,0,0,0
CFS,603,congruent,aligned,M1,FALSE,1,0.1709914,E1,0.7123157319281759,0,0,0,0,0,0,0
CFS,603,incongruent,aligned,F1,FALSE,1,0.16128902,E1,0.47295991498492973,0,1,0,0,0,0,0
CFS,603,congruent,aligned,F3,FALSE,1,0.095568972,E1,-0.060938111430432366,0,0,0,0,0,0,0
CFS,603,incongruent,misaligned,F4,FALSE,1,0.140882784,E1,0.4379928968980855,0,1,1,0,0,1,0
CFS,603,congruent,misaligned,F2,FALSE,1,0.056118603,E1,-0.4500209661765328,0,0,1,0,0,0,0
CFS,603,incongruent,misaligned,M1,FALSE,1,0.096443532,E1,-0.04744384802847643,0,1,1,0,0,1,0
CFS,603,incongruent,misaligned,M4,FALSE,1,0.021264351,E1,-0.8686713725350731,0,1,1,0,0,1,0
CFS,603,congruent,misaligned,F1,FALSE,1,0.080598491,E1,-0.17024813116819568,0,0,1,0,0,0,0
CFS,603,incongruent,aligned,M3,FALSE,1,0.021409744,E1,-1.1563611855874292,0,1,0,0,0,0,0
CFS,603,congruent,misaligned,F5,FALSE,1,0.071301218,E1,-0.27650370002768015,0,0,1,0,0,0,0
CFS,603,incongruent,misaligned,M3,FALSE,1,0.061444678,E1,-0.4297574333678511,0,1,1,0,0,1,0
CFS,603,congruent,aligned,F2,FALSE,1,5.81999e-4,E1,-1.0347736652427595,0,0,0,0,0,0,0
CFS,603,congruent,aligned,F3,FALSE,1,0.190394791,E1,0.9112452421918849,0,0,0,0,0,0,0
CFS,603,incongruent,misaligned,M3,FALSE,0,0.195512688,E1,0.7071067811865475,0,1,1,0,0,1,0
CFS,603,incongruent,aligned,F5,FALSE,1,0.090654634,E1,-0.349793096231491,0,1,0,0,0,0,0
CFS,603,incongruent,misaligned,F4,FALSE,1,0.141444938,E1,0.44413364399948674,0,1,1,0,0,1,0
CFS,603,incongruent,aligned,M1,FALSE,1,0.336077956,E1,2.5089105555315077,0,1,0,0,0,0,0
CFS,603,congruent,aligned,M4,FALSE,1,0.090502398,E1,-0.11288218061580521,0,0,0,0,0,0,0
CFS,603,congruent,misaligned,F1,FALSE,1,0.060693506,E1,-0.39773585840977566,0,0,1,0,0,0,0
CFS,603,incongruent,aligned,M1,FALSE,1,0.121245362,E1,0.006529298604679456,0,1,0,0,0,0,0
CFS,603,congruent,misaligned,M2,FALSE,1,0.035457465,E1,-0.6861505249702041,0,0,1,0,0,0,0
CFS,603,incongruent,misaligned,F3,FALSE,1,0.090954721,E1,-0.1074014401444982,0,1,1,0,0,1,0
CFS,603,congruent,misaligned,M5,FALSE,1,0.111116662,E1,0.17853431505619985,0,0,1,0,0,0,0
CFS,603,incongruent,aligned,M3,FALSE,1,0.005675945,E1,-1.3396292967468282,0,1,0,0,0,0,0
CFS,603,incongruent,misaligned,M2,FALSE,1,0.055454488,E1,-0.4951918906150532,0,1,1,0,0,1,0
CFS,603,incongruent,misaligned,M5,FALSE,1,6.18652e-4,E1,-1.094196791353859,0,1,1,0,0,1,0
CFS,603,incongruent,aligned,M1,FALSE,1,0.031178865,E1,-1.0425699547882037,0,1,0,0,0,0,0
CFS,603,incongruent,aligned,M4,FALSE,1,0.090956774,E1,-0.34627375375700653,0,1,0,0,0,0,0
CFS,603,congruent,aligned,F4,FALSE,1,0.156109194,E1,0.5597387956996773,0,0,0,0,0,0,0
CFS,603,congruent,misaligned,F4,FALSE,1,0.006371881,E1,-1.01856039112454,0,0,1,0,0,0,0
CFS,603,incongruent,aligned,F2,FALSE,1,0.135800364,E1,0.17606672084207295,0,1,0,0,0,0,0
CFS,603,congruent,misaligned,M4,FALSE,1,0.031125147,E1,-0.7356632061155447,0,0,1,0,0,0,0
CFS,603,congruent,aligned,M4,FALSE,1,0.145550068,E1,0.4514834003415776,0,0,0,0,0,0,0
CFS,603,incongruent,aligned,M2,FALSE,1,6.56717e-4,E1,-1.3980935262084075,0,1,0,0,0,0,0
CFS,603,incongruent,misaligned,F1,FALSE,1,0.095991528,E1,-0.05238136026324091,0,1,1,0,0,1,0
CFS,603,incongruent,misaligned,F1,FALSE,1,5.69339e-4,E1,-1.094735466986891,0,1,1,0,0,1,0
CFS,603,congruent,misaligned,M1,FALSE,1,5.79262e-4,E1,-1.0847623868098617,0,0,1,0,0,0,0
CFS,603,congruent,aligned,M4,FALSE,1,0.130830384,E1,0.30057268945828136,0,0,0,0,0,0,0
CFS,603,incongruent,misaligned,F4,FALSE,1,0.041396524,E1,-0.6487555078526879,0,1,1,0,0,1,0
CFS,603,congruent,misaligned,M2,FALSE,1,0.040822394,E1,-0.6248364619341132,0,0,1,0,0,0,0
CFS,603,incongruent,misaligned,M4,FALSE,1,0.155942652,E1,0.602500915641148,0,1,1,0,0,1,0
CFS,603,congruent,misaligned,F3,FALSE,1,0.075511388,E1,-0.22838700942978807,0,0,1,0,0,0,0
CFS,603,incongruent,aligned,F1,FALSE,1,6.75748e-4,E1,-1.3978718521280742,0,1,0,0,0,0,0
CFS,603,congruent,misaligned,F5,FALSE,1,0.075553472,E1,-0.22790604481146587,0,0,1,0,0,0,0
CFS,603,congruent,aligned,M2,FALSE,0,0.121365457,E1,-0.6973399475708956,0,0,0,0,0,0,0
CFS,603,incongruent,misaligned,M5,FALSE,1,0.015667186,E1,-0.929812580726806,0,1,1,0,0,1,0
CFS,603,congruent,aligned,M2,FALSE,1,0.060844053,E1,-0.41694862168696195,0,0,0,0,0,0,0
CFS,603,congruent,misaligned,F3,FALSE,1,0.170581503,E1,0.8581390236190007,0,0,1,0,0,0,0
CFS,603,congruent,misaligned,M4,FALSE,1,5.74472e-4,E1,-1.084817130192662,0,0,1,0,0,0,0
CFS,603,congruent,misaligned,F3,FALSE,1,0.140578612,E1,0.5152455482274414,0,0,1,0,0,0,0
CFS,603,incongruent,misaligned,M4,FALSE,1,0.044884071,E1,-0.6106589291015785,0,1,1,0,0,1,0
CFS,603,incongruent,aligned,F3,FALSE,1,0.145974677,E1,0.2945776491852225,0,1,0,0,0,0,0
CFS,603,congruent,aligned,F2,FALSE,1,0.156434922,E1,0.5630782589676792,0,0,0,0,0,0,0
CFS,603,incongruent,misaligned,F2,FALSE,1,0.015945954,E1,-0.9267674297753523,0,1,1,0,0,1,0
CFS,603,incongruent,misaligned,F5,FALSE,1,0.036154426,E1,-0.7060181051103114,0,1,1,0,0,1,0
CFS,603,incongruent,aligned,F1,FALSE,1,0.145600022,E1,0.2902136482095888,0,1,0,0,0,0,0
CFS,603,congruent,aligned,F5,FALSE,1,0.01574169,E1,-0.8793518677652385,0,0,0,0,0,0,0
CFS,603,congruent,misaligned,F4,FALSE,1,0.211187316,E1,1.3222099140098555,0,0,1,0,0,0,0
CFS,603,congruent,aligned,M2,FALSE,1,0.400799949,E1,3.06838339592482,0,0,0,0,0,0,0
CFS,603,congruent,misaligned,M3,FALSE,1,0.371286207,E1,3.1519290947822824,0,0,1,0,0,0,0
CFS,603,incongruent,aligned,M4,FALSE,1,0.235435909,E1,1.336626744297776,0,1,0,0,0,0,0
CFS,603,incongruent,aligned,F5,FALSE,0,0.816024306,E1,NaN,0,1,0,0,0,0,0
CFS,603,congruent,misaligned,M1,FALSE,1,0.255615641,E1,1.8299670753139343,0,0,1,0,0,0,0
CFS,603,congruent,misaligned,M2,FALSE,1,0.055378873,E1,-0.4584751044977832,0,0,1,0,0,0,0
CFS,603,incongruent,aligned,M4,FALSE,1,0.101311979,E1,-0.22565578596560631,0,1,0,0,0,0,0
CFS,603,incongruent,misaligned,F2,FALSE,0,6.04923e-4,E1,-0.7071067811865476,0,1,1,0,0,1,0
CFS,603,congruent,aligned,M5,FALSE,1,0.07079894,E1,-0.3148880697122808,0,0,0,0,0,0,0
CFS,603,incongruent,aligned,F3,FALSE,1,0.150871544,E1,0.35161661133853295,0,1,0,0,0,0,0
CFS,603,congruent,misaligned,F3,FALSE,1,0.095490961,E1,-4.683971716398139e-5,0,0,1,0,0,0,0
CFS,603,incongruent,misaligned,M2,FALSE,1,5.76867e-4,E1,-1.0946532341037676,0,1,1,0,0,1,0
CFS,603,congruent,misaligned,F5,FALSE,1,0.070650104,E1,-0.2839450743384457,0,0,1,0,0,0,0
CFS,603,incongruent,aligned,F4,FALSE,1,0.070565935,E1,-0.5837873096684182,0,1,0,0,0,0,0
CFS,603,incongruent,aligned,F3,FALSE,1,0.19143322,E1,0.8240811283937929,0,1,0,0,0,0,0
CFS,603,incongruent,aligned,F3,FALSE,1,6.58299e-4,E1,-1.3980750989899173,0,1,0,0,0,0,0
CFS,603,incongruent,aligned,F4,FALSE,1,0.035407511,E1,-0.9933144656859373,0,1,0,0,0,0,0
CFS,603,incongruent,aligned,F2,FALSE,1,0.08576771,E1,-0.40671624180234367,0,1,0,0,0,0,0
CFS,603,congruent,misaligned,M3,FALSE,1,0.05115878,E1,-0.5067052018989168,0,0,1,0,0,0,0
CFS,603,congruent,aligned,F1,FALSE,1,0.110794013,E1,0.09515367427212267,0,0,0,0,0,0,0
CFS,603,incongruent,misaligned,M4,FALSE,1,0.016373301,E1,-0.9220992608189051,0,1,1,0,0,1,0
CFS,603,incongruent,aligned,F5,FALSE,1,0.096290226,E1,-0.2841494267588467,0,1,0,0,0,0,0
CFS,603,congruent,misaligned,F5,FALSE,1,6.72669e-4,E1,-1.0836948679878955,0,0,1,0,0,0,0
CFS,603,congruent,aligned,M1,FALSE,0,0.160566397,E1,-0.4483794275325417,0,0,0,0,0,0,0
