Experiment,ExperimentNum,Participant,DominantEye,SubTrial,TrialType,Condition,Congruency,Alignment,SameDifferent,thisResponse,isCorrect,reactionTime,FaceGroup,StudyUpper,StudyLower,TargetUpper,TargetLower,TargetLower2,studyDuration,targetDuration,maskDuration,trialDuration,trialEndTime,Trial,ChoseFace,MatchStudy
112_CF_CFS_catch_test,112,1205,Right,1,Catch,CFS,incongruent,aligned,Right,4,0,21.5714463142875,F4,F4064.png,F4040.png,F4064.png,F4018.png,F4020.png,0.3,0.3,0.5,21.577335379383,2019-01-31-15:10:27,1,F4020.png,0
112_CF_CFS_catch_test,112,1205,Right,2,Catch,CFS,incongruent,aligned,Left,4,1,4.97102307622561,F1,F1046.png,F1015.png,F1002.png,F1015.png,F1059.png,0.3,0.3,0.5,4.97561334448733,2019-01-31-15:10:50,7,F1015.png,1
112_CF_CFS_catch_test,112,1205,Right,3,Catch,CFS,congruent,aligned,Right,4,0,4.31073645817833,F2,F2032.png,F2017.png,F2032.png,F2017.png,F2016.png,0.3,0.3,0.5,4.31725165557248,2019-01-31-15:12:09,32,F2016.png,0
112_CF_CFS_catch_test,112,1205,Right,4,Catch,CFS,incongruent,aligned,Right,5,1,3.14053727625605,M4,M4134.png,M4197.png,M4188.png,M4197.png,M4136.png,0.3,0.3,0.5,3.15036789549401,2019-01-31-15:13:39,59,M4197.png,1
112_CF_CFS_catch_test,112,1205,Right,5,Catch,CFS,incongruent,aligned,Left,4,1,2.43559100217101,F3,F3112.png,F3062.png,F3079.png,F3062.png,F3047.png,0.3,0.3,0.5,2.44194162599376,2019-01-31-15:14:25,77,F3062.png,1
112_CF_CFS_catch_test,112,1205,Right,6,Catch,CFS,incongruent,misaligned,Left,5,0,4.76507379294185,F4,F4064.png,F4040.png,F4064.png,F4018.png,F4020.png,0.3,0.3,0.5,4.7755257543954,2019-01-31-15:17:59,149,F4020.png,0
112_CF_CFS_catch_test,112,1205,Right,7,Catch,CFS,incongruent,misaligned,Left,4,1,2.19504294822787,F1,F1046.png,F1015.png,F1002.png,F1015.png,F1059.png,0.3,0.3,0.5,2.20024395209225,2019-01-31-15:18:34,162,F1015.png,1
112_CF_CFS_catch_test,112,1205,Right,8,Catch,CFS,congruent,misaligned,Right,5,1,2.27552900480896,F2,F2032.png,F2017.png,F2032.png,F2017.png,F2016.png,0.3,0.3,0.5,2.28360097922996,2019-01-31-15:21:12,209,F2017.png,1
112_CF_CFS_catch_test,112,1205,Right,9,Catch,CFS,incongruent,misaligned,Left,5,0,1.58028059622848,M4,M4134.png,M4197.png,M4188.png,M4197.png,M4136.png,0.3,0.3,0.5,1.58345231557746,2019-01-31-15:21:28,215,M4136.png,0
112_CF_CFS_catch_test,112,1205,Right,10,Catch,CFS,incongruent,misaligned,Right,5,1,2.07092470844646,F3,F3112.png,F3062.png,F3079.png,F3062.png,F3047.png,0.3,0.3,0.5,2.07518514526782,2019-01-31-15:24:00,271,F3062.png,1
112_CF_monocular_catch_test,112,1205,Right,1,Catch,monocular,incongruent,aligned,Right,4,0,3.26012341307114,M2,M2142.png,M2141.png,M2201.png,M2141.png,M2198.png,0.3,0.3,0.5,3.26720589317097,2019-01-31-15:29:24,25,M2198.png,0
112_CF_monocular_catch_test,112,1205,Right,2,Catch,monocular,incongruent,aligned,Right,4,0,2.14560586853599,M3,M3187.png,M3183.png,M3153.png,M3183.png,M3013.png,0.3,0.3,0.5,2.15031691532317,2019-01-31-15:31:27,68,M3013.png,0
112_CF_monocular_catch_test,112,1205,Right,3,Catch,monocular,incongruent,aligned,Right,4,0,1.71515120410731,F3,F3062.png,F3079.png,F3112.png,F3079.png,F3047.png,0.3,0.3,0.5,1.72521311593209,2019-01-31-15:32:32,89,F3047.png,0
112_CF_monocular_catch_test,112,1205,Right,4,Catch,monocular,incongruent,aligned,Left,5,0,3.17590280236982,M4,M4136.png,M4134.png,M4197.png,M4134.png,M4188.png,0.3,0.3,0.5,3.18370790072913,2019-01-31-15:32:48,94,M4188.png,0
112_CF_monocular_catch_test,112,1205,Right,5,Catch,monocular,congruent,aligned,Right,5,1,2.27495111549069,M1,M1122.png,M1119.png,M1125.png,M1186.png,M1122.png,0.3,0.3,0.5,2.28363656270494,2019-01-31-15:35:04,140,M1186.png,0
112_CF_monocular_catch_test,112,1205,Right,6,Catch,monocular,incongruent,misaligned,Left,5,0,1.80031511904235,M2,M2142.png,M2141.png,M2201.png,M2141.png,M2198.png,0.3,0.3,0.5,1.80858896125346,2019-01-31-15:35:21,146,M2198.png,0
112_CF_monocular_catch_test,112,1205,Right,7,Catch,monocular,incongruent,misaligned,Right,4,0,2.08538460090904,M3,M3187.png,M3183.png,M3153.png,M3183.png,M3013.png,0.3,0.3,0.5,2.09187311069718,2019-01-31-15:41:11,264,M3013.png,0
112_CF_monocular_catch_test,112,1205,Right,8,Catch,monocular,incongruent,misaligned,Left,5,0,1.80577341880235,F3,F3062.png,F3079.png,F3112.png,F3079.png,F3047.png,0.3,0.3,0.5,1.81690112413025,2019-01-31-15:41:20,267,F3047.png,0
112_CF_monocular_catch_test,112,1205,Right,9,Catch,monocular,incongruent,misaligned,Left,5,0,1.86079505116004,M4,M4136.png,M4134.png,M4197.png,M4134.png,M4188.png,0.3,0.3,0.5,1.86690685512212,2019-01-31-15:42:54,298,M4188.png,0
112_CF_monocular_catch_test,112,1205,Right,10,Catch,monocular,congruent,misaligned,Left,4,1,2.70536369561796,M1,M1122.png,M1119.png,M1125.png,M1186.png,M1122.png,0.3,0.3,0.5,2.70860110753574,2019-01-31-15:43:34,314,M1186.png,0
