"Participant","CFS.aligned","CFS.misaligned","monocular.aligned","monocular.misaligned"
"603",0.975,0.95,1,1
"604",0.925,0.9,1,0.9
"605",0.825,0.925,0.85,0.95
"606",0.925,0.925,0.725,0.925
"607",0.85,0.7,0.75,0.775
"608",0.825,0.85,0.7,0.9
"609",0.675,0.875,0.375,0.775
"610",0.975,0.925,0.975,1
"611",0.8,0.85,0.775,0.825
"612",0.575,0.725,0.55,0.825
"613",0.975,0.875,0.8,0.925
"614",0.975,0.9,1,0.975
"615",0.9,0.95,0.925,0.975
"616",0.875,0.975,0.85,0.925
"617",1,0.85,0.95,0.975
"618",0.9,0.95,0.775,0.9
"619",0.95,0.85,0.95,0.925
"620",0.725,0.875,0.75,0.85
"621",0.825,0.85,0.775,0.9
"622",0.975,0.95,1,0.95
