"Experiment","Participant","Congruency","Alignment","dprime","Count"
"CFS","603","congruent","aligned",2.47596486043225,40
"CFS","603","congruent","misaligned",3.11031336491606,40
"CFS","603","incongruent","aligned",2.89455327561353,40
"CFS","603","incongruent","misaligned",2.40026865331194,40
"CFS","604","congruent","aligned",2.47596486043225,40
"CFS","604","congruent","misaligned",2.58988085131446,40
"CFS","604","incongruent","aligned",2.47596486043225,40
"CFS","604","incongruent","misaligned",2.03696659190507,40
"CFS","605","congruent","aligned",2.03729159698093,40
"CFS","605","congruent","misaligned",1.19889026290412,40
"CFS","605","incongruent","aligned",1.38835148124336,40
"CFS","605","incongruent","misaligned",1.89329366110834,40
"CFS","606","congruent","aligned",2.92640519249607,40
"CFS","606","congruent","misaligned",2.87906294187691,40
"CFS","606","incongruent","aligned",2.11402122113454,40
"CFS","606","incongruent","misaligned",2.28115270451137,40
"CFS","607","congruent","aligned",2.07286677898758,40
"CFS","607","congruent","misaligned",2.21614085661808,40
"CFS","607","incongruent","aligned",2.07286677898758,40
"CFS","607","incongruent","misaligned",1.45898980378152,40
"CFS","608","congruent","aligned",2.58988085131446,40
"CFS","608","congruent","misaligned",2.43190094592061,40
"CFS","608","incongruent","aligned",2.08493867144949,40
"CFS","608","incongruent","misaligned",2.1867827698698,40
"CFS","609","congruent","aligned",2.21614085661808,40
"CFS","609","congruent","misaligned",2.31798495503839,40
"CFS","609","incongruent","aligned",1.60411157054589,40
"CFS","609","incongruent","misaligned",2.43190094592061,40
"CFS","610","congruent","aligned",2.68128701644526,40
"CFS","610","congruent","misaligned",3.28970725390294,40
"CFS","610","incongruent","aligned",3.24151555008465,40
"CFS","610","incongruent","misaligned",3.39949545547851,40
"CFS","611","congruent","aligned",1.27981553906851,40
"CFS","611","congruent","misaligned",1.67474989308405,40
"CFS","611","incongruent","aligned",1.29538342374279,40
"CFS","611","incongruent","misaligned",1.22555181576658,40
"CFS","612","congruent","aligned",1.73531375571448,40
"CFS","612","congruent","misaligned",2.21331108767585,40
"CFS","612","incongruent","aligned",1.83397205322426,40
"CFS","612","incongruent","misaligned",2.83916285364742,40
"CFS","613","congruent","aligned",2.08493867144949,40
"CFS","613","congruent","misaligned",1.99197061394892,40
"CFS","613","incongruent","aligned",3.11031336491606,40
"CFS","613","incongruent","misaligned",1.82483913057209,40
"CFS","614","congruent","aligned",4.48280545520989,40
"CFS","614","congruent","misaligned",3.88625635455642,40
"CFS","614","incongruent","aligned",4.201366712145,40
"CFS","614","incongruent","misaligned",3.52295429314955,40
"CFS","615","congruent","aligned",2.31798495503839,40
"CFS","615","congruent","misaligned",2.79520300732748,40
"CFS","615","incongruent","aligned",2.31798495503839,40
"CFS","615","incongruent","misaligned",3.28970725390294,40
"CFS","616","congruent","aligned",2.72108303648306,40
"CFS","616","congruent","misaligned",3.24151555008465,40
"CFS","616","incongruent","aligned",2.58988085131446,40
"CFS","616","incongruent","misaligned",3.24151555008465,40
"CFS","617","congruent","aligned",2.08493867144949,40
"CFS","617","congruent","misaligned",2.58988085131446,40
"CFS","617","incongruent","aligned",3.27783611709874,40
"CFS","617","incongruent","misaligned",2.99639737403384,40
"CFS","618","congruent","aligned",1.99197061394892,40
"CFS","618","congruent","misaligned",2.16925413965951,40
"CFS","618","incongruent","aligned",2.5631031310892,40
"CFS","618","incongruent","misaligned",2.79520300732748,40
"CFS","619","congruent","aligned",3.60481761149153,40
"CFS","619","congruent","misaligned",2.58988085131446,40
"CFS","619","incongruent","aligned",3.08438509788993,40
"CFS","619","incongruent","misaligned",1.97102268056727,40
"CFS","620","congruent","aligned",2.1867827698698,40
"CFS","620","congruent","misaligned",2.72108303648306,40
"CFS","620","incongruent","aligned",1.53234941711596,40
"CFS","620","incongruent","misaligned",2.30069876075202,40
"CFS","621","congruent","aligned",3.11031336491606,40
"CFS","621","congruent","misaligned",2.79520300732748,40
"CFS","621","incongruent","aligned",2.37412076201194,40
"CFS","621","incongruent","misaligned",2.99639737403384,40
"CFS","622","congruent","aligned",2.92640519249607,40
"CFS","622","congruent","misaligned",2.58988085131446,40
"CFS","622","incongruent","aligned",3.60481761149153,40
"CFS","622","incongruent","misaligned",3.08438509788993,40
"monocular","603","congruent","aligned",3.39175210798095,40
"monocular","603","congruent","misaligned",3.24151555008465,40
"monocular","603","incongruent","aligned",2.83916285364742,40
"monocular","603","incongruent","misaligned",3.39175210798095,40
"monocular","604","congruent","aligned",3.17599201867843,40
"monocular","604","congruent","misaligned",3.27783611709874,40
"monocular","604","incongruent","aligned",3.27783611709874,40
"monocular","604","incongruent","misaligned",2.31798495503839,40
"monocular","605","congruent","aligned",1.67474989308405,40
"monocular","605","congruent","misaligned",1.34425834348781,40
"monocular","605","incongruent","aligned",1.099140167437,40
"monocular","605","incongruent","misaligned",1.83397205322426,40
"monocular","606","congruent","aligned",2.37412076201194,40
"monocular","606","congruent","misaligned",1.73531375571448,40
"monocular","606","incongruent","aligned",1.63419351553627,40
"monocular","606","incongruent","misaligned",2.03729159698093,40
"monocular","607","congruent","aligned",2.87906294187691,40
"monocular","607","congruent","misaligned",2.80158521811297,40
"monocular","607","incongruent","aligned",2.11402122113454,40
"monocular","607","incongruent","misaligned",2.40026865331194,40
"monocular","608","congruent","aligned",2.28115270451137,40
"monocular","608","congruent","misaligned",2.30069876075202,40
"monocular","608","incongruent","aligned",1.80595207825264,40
"monocular","608","incongruent","misaligned",2.12317279911752,40
"monocular","609","congruent","aligned",2.91589247780103,40
"monocular","609","congruent","misaligned",1.97102268056727,40
"monocular","609","incongruent","aligned",0.615949927109105,40
"monocular","609","incongruent","misaligned",1.90576440673648,40
"monocular","610","congruent","aligned",3.08302396117786,40
"monocular","610","congruent","misaligned",2.89455327561353,40
"monocular","610","incongruent","aligned",2.80158521811297,40
"monocular","610","incongruent","misaligned",2.83916285364742,40
"monocular","611","congruent","aligned",2.08493867144949,40
"monocular","611","congruent","misaligned",1.63419351553627,40
"monocular","611","incongruent","aligned",1.35317515240295,40
"monocular","611","incongruent","misaligned",1.60907904126956,40
"monocular","612","congruent","aligned",2.41372617470993,40
"monocular","612","congruent","misaligned",1.96349299091585,40
"monocular","612","incongruent","aligned",1.77051497380655,40
"monocular","612","incongruent","misaligned",2.89455327561353,40
"monocular","613","congruent","aligned",2.55772411058253,40
"monocular","613","congruent","misaligned",2.31798495503839,40
"monocular","613","incongruent","aligned",1.77621052464639,40
"monocular","613","incongruent","misaligned",2.47596486043225,40
"monocular","614","congruent","aligned",3.6809341985434,40
"monocular","614","congruent","misaligned",3.91992796908011,40
"monocular","614","incongruent","aligned",3.88625635455642,40
"monocular","614","incongruent","misaligned",3.91992796908011,40
"monocular","615","congruent","aligned",3.88625635455642,40
"monocular","615","congruent","misaligned",3.39175210798095,40
"monocular","615","incongruent","aligned",3.39949545547851,40
"monocular","615","incongruent","misaligned",3.11031336491606,40
"monocular","616","congruent","aligned",2.1867827698698,40
"monocular","616","congruent","misaligned",3.24151555008465,40
"monocular","616","incongruent","aligned",1.79184841585426,40
"monocular","616","incongruent","misaligned",2.19494649729893,40
"monocular","617","congruent","aligned",3.11031336491606,40
"monocular","617","congruent","misaligned",3.08438509788993,40
"monocular","617","incongruent","aligned",2.79520300732748,40
"monocular","617","incongruent","misaligned",3.24151555008465,40
"monocular","618","congruent","aligned",2.31934337714755,40
"monocular","618","congruent","misaligned",2.41372617470993,40
"monocular","618","incongruent","aligned",1.27981553906851,40
"monocular","618","incongruent","misaligned",1.66687203195217,40
"monocular","619","congruent","aligned",2.79520300732748,40
"monocular","619","congruent","misaligned",3.60481761149153,40
"monocular","619","incongruent","aligned",2.92640519249607,40
"monocular","619","incongruent","misaligned",2.72108303648306,40
"monocular","620","congruent","aligned",2.83916285364742,40
"monocular","620","congruent","misaligned",2.83916285364742,40
"monocular","620","incongruent","aligned",1.19889026290412,40
"monocular","620","incongruent","misaligned",1.71092313968987,40
"monocular","621","congruent","aligned",3.08438509788993,40
"monocular","621","congruent","misaligned",3.24151555008465,40
"monocular","621","incongruent","aligned",2.19494649729893,40
"monocular","621","incongruent","misaligned",2.72108303648306,40
"monocular","622","congruent","aligned",2.91589247780103,40
"monocular","622","congruent","misaligned",2.31934337714755,40
"monocular","622","incongruent","aligned",2.83916285364742,40
"monocular","622","incongruent","misaligned",2.57944291802495,40
