"Experiment","Participant","Congruency","Alignment","RT","Count"
"CFS","603","congruent","aligned",426.493050927536,69
"CFS","603","congruent","misaligned",420.50805709589,73
"CFS","603","incongruent","aligned",433.257540380282,71
"CFS","603","incongruent","misaligned",422.956630956522,69
"CFS","604","congruent","aligned",559.354578594203,69
"CFS","604","congruent","misaligned",529.8353613,70
"CFS","604","incongruent","aligned",548.396982828571,70
"CFS","604","incongruent","misaligned",512.558761984615,65
"CFS","605","congruent","aligned",403.240977348485,66
"CFS","605","congruent","misaligned",403.726608350877,57
"CFS","605","incongruent","aligned",390.626802775862,58
"CFS","605","incongruent","misaligned",422.941414523809,63
"CFS","606","congruent","aligned",530.298568635135,74
"CFS","606","congruent","misaligned",521.005210458333,72
"CFS","606","incongruent","aligned",542.517502772727,66
"CFS","606","incongruent","misaligned",548.864839641791,67
"CFS","607","congruent","aligned",527.975662746269,67
"CFS","607","congruent","misaligned",564.067934552239,67
"CFS","607","incongruent","aligned",534.972232507692,65
"CFS","607","incongruent","misaligned",558.666537233333,60
"CFS","608","congruent","aligned",393.788515166667,72
"CFS","608","congruent","misaligned",418.648391352113,71
"CFS","608","incongruent","aligned",383.817193378788,66
"CFS","608","incongruent","misaligned",409.136589328358,67
"CFS","609","congruent","aligned",827.504969522388,67
"CFS","609","congruent","misaligned",863.467964514706,68
"CFS","609","incongruent","aligned",908.853303316667,60
"CFS","609","incongruent","misaligned",814.096855685714,70
"CFS","610","congruent","aligned",537.8749166,70
"CFS","610","congruent","misaligned",547.18365054054,74
"CFS","610","incongruent","aligned",525.800847783784,74
"CFS","610","incongruent","misaligned",513.077133364865,74
"CFS","611","congruent","aligned",403.118971913793,58
"CFS","611","congruent","misaligned",400.836610590164,61
"CFS","611","incongruent","aligned",381.257590894737,57
"CFS","611","incongruent","misaligned",401.779306803571,56
"CFS","612","congruent","aligned",427.285666032258,62
"CFS","612","congruent","misaligned",436.023419174603,63
"CFS","612","incongruent","aligned",422.45048745,60
"CFS","612","incongruent","misaligned",414.130194294118,68
"CFS","613","congruent","aligned",607.704474865672,67
"CFS","613","congruent","misaligned",649.18963019697,66
"CFS","613","incongruent","aligned",588.376780458333,72
"CFS","613","incongruent","misaligned",625.369186571429,63
"CFS","614","congruent","aligned",637.465906518987,79
"CFS","614","congruent","misaligned",630.003297597403,77
"CFS","614","incongruent","aligned",645.044861948718,78
"CFS","614","incongruent","misaligned",644.917682346667,75
"CFS","615","congruent","aligned",780.194925823529,68
"CFS","615","congruent","misaligned",781.838723169014,71
"CFS","615","incongruent","aligned",784.612243231884,69
"CFS","615","incongruent","misaligned",762.767564405405,74
"CFS","616","congruent","aligned",477.718049611111,72
"CFS","616","congruent","misaligned",498.380792,73
"CFS","616","incongruent","aligned",475.320598257143,70
"CFS","616","incongruent","misaligned",471.19960425,72
"CFS","617","congruent","aligned",480.803503045455,66
"CFS","617","congruent","misaligned",505.527480197183,71
"CFS","617","incongruent","aligned",487.681512273973,73
"CFS","617","incongruent","misaligned",490.374050380282,71
"CFS","618","congruent","aligned",618.910431415385,65
"CFS","618","congruent","misaligned",610.054608384615,65
"CFS","618","incongruent","aligned",632.928177464789,71
"CFS","618","incongruent","misaligned",607.10886075,72
"CFS","619","congruent","aligned",488.3238068,75
"CFS","619","congruent","misaligned",492.524923318841,69
