"Participant","CFS.congruent.aligned","CFS.congruent.misaligned","CFS.incongruent.aligned","CFS.incongruent.misaligned","monocular.congruent.aligned","monocular.congruent.misaligned","monocular.incongruent.aligned","monocular.incongruent.misaligned"
"603",426.493050927536,420.50805709589,433.257540380282,422.956630956522,373.840603930556,383.401204635135,371.443324104478,385.985668986486
"604",559.354578594203,529.8353613,548.396982828571,512.558761984615,546.912545549296,558.146794222222,615.553120652778,607.1986807
"605",403.240977348485,403.726608350877,390.626802775862,422.941414523809,479.294093983871,493.585009454545,485.789163132075,465.18355255
"606",530.298568635135,521.005210458333,542.517502772727,548.864839641791,611.792306314286,587.291035206349,581.663439419355,606.452453515152
"607",527.975662746269,564.067934552239,534.972232507692,558.666537233333,508.042009202703,474.645654914286,506.168639107692,489.663212447761
"608",393.788515166667,418.648391352113,383.817193378788,409.136589328358,419.70505138806,434.704153449275,437.645735285714,430.352695045455
"609",827.504969522388,863.467964514706,908.853303316667,814.096855685714,778.451767897059,885.1892754,823.168199434783,876.716981234375
"610",537.8749166,547.18365054054,525.800847783784,513.077133364865,624.233463985507,636.363058071429,694.670740594203,621.18318575
"611",403.118971913793,400.836610590164,381.257590894737,401.779306803571,420.632954484848,419.722771903226,454.858625583333,414.328781786885
"612",427.285666032258,436.023419174603,422.45048745,414.130194294118,480.821671384615,480.768261596774,491.307220355932,462.7477169
"613",607.704474865672,649.18963019697,588.376780458333,625.369186571429,620.710906984849,577.251493507246,632.544090349206,576.953372257143
"614",637.465906518987,630.003297597403,645.044861948718,644.917682346667,575.255963905405,599.726865723684,626.246990454546,572.554523302632
"615",780.194925823529,781.838723169014,784.612243231884,762.767564405405,788.136038350649,695.816836391892,742.806421243243,719.4743385
"616",477.718049611111,498.380792,475.320598257143,471.19960425,504.352436104478,515.871496555556,525.593830952381,538.724340393939
"617",480.803503045455,505.527480197183,487.681512273973,490.374050380282,452.51728271831,442.479396657534,482.399164917808,443.865737753425
"618",618.910431415385,610.054608384615,632.928177464789,607.10886075,696.006053402985,771.092858307692,771.912316465517,734.930917467742
"619",488.3238068,492.524923318841,554.323347283784,501.568121938462,493.272998805556,499.892115407895,489.554905152778,494.451433684932
"620",471.082009911765,480.402283082192,466.35116495082,453.392931913044,573.583470454545,616.539690791045,593.829815964286,607.115135032258
"621",723.110824959459,683.977292194444,714.700145814286,663.927081338028,680.996957123288,576.872309452055,630.608545343284,629.458443239437
"622",522.854086520548,536.1331745,540.436299743243,513.368850675676,612.353483558824,610.99314080303,614.472931223881,622.890616602941
