"Participant","CFS.aligned","CFS.misaligned","monocular.aligned","monocular.misaligned"
"8201",0.85,0.925,0.775,0.825
"8202",0.675,0.85,0.875,0.85
"8203",0.875,0.875,0.875,0.925
"8204",0.825,0.875,0.775,0.925
"8205",0.925,0.925,0.975,0.975
"8206",0.95,1,0.9,0.975
"8207",0.95,0.925,0.85,1
"8208",0.85,0.925,0.825,0.95
"8209",0.925,0.975,0.925,1
"8210",0.7,0.75,0.775,0.85
"8212",0.85,0.875,0.8,0.75
"8213",0.925,0.9,0.85,0.925
"8214",0.95,0.975,0.95,0.95
"8215",0.85,0.85,0.775,0.875
"8216",0.875,0.9,0.925,0.925
"8217",0.75,0.725,0.85,0.925
"8218",0.85,0.825,0.825,0.975
"8221",0.925,0.9,0.975,0.975
"8222",1,0.975,0.875,0.975
"8223",0.85,0.85,0.9,0.85
"8224",0.825,0.875,0.85,0.9
"8225",0.95,0.975,0.975,0.975
"8226",0.625,0.756756756756757,0.692307692307692,0.75
"8227",0.825,0.825,0.875,0.9
"8228",1,0.95,1,1
"8229",0.9,0.775,0.925,1
"8230",1,0.95,1,1
"8231",0.95,0.875,1,0.975
"8233",0.85,0.9,0.85,0.85
"8234",0.925,0.975,0.875,0.925
