"Viewing","Participant","Alignment","Accuracy","Count"
"CFS","8201","aligned",0.5,10
"CFS","8201","misaligned",0.3,10
"CFS","8202","aligned",0.6,10
"CFS","8202","misaligned",0.4,10
"CFS","8203","aligned",0.7,10
"CFS","8203","misaligned",0.7,10
"CFS","8204","aligned",1,10
"CFS","8204","misaligned",0.5,10
"CFS","8205","aligned",0.4,10
"CFS","8205","misaligned",0.7,10
"CFS","8206","aligned",0.7,10
"CFS","8206","misaligned",0.5,10
"CFS","8207","aligned",0.6,10
"CFS","8207","misaligned",0.4,10
"CFS","8208","aligned",0.8,10
"CFS","8208","misaligned",0.5,10
"CFS","8209","aligned",0.6,10
"CFS","8209","misaligned",0.3,10
"CFS","8210","aligned",0.9,10
"CFS","8210","misaligned",0.7,10
"CFS","8212","aligned",0.6,10
"CFS","8212","misaligned",0.4,10
"CFS","8213","aligned",0.5,10
"CFS","8213","misaligned",0.4,10
"CFS","8214","aligned",0.3,10
"CFS","8214","misaligned",0.5,10
"CFS","8215","aligned",0.4,10
"CFS","8215","misaligned",0.1,10
"CFS","8216","aligned",0.1,10
"CFS","8216","misaligned",0.2,10
"CFS","8217","aligned",0.7,10
"CFS","8217","misaligned",0.6,10
"CFS","8218","aligned",0.2,10
"CFS","8218","misaligned",0.4,10
"CFS","8221","aligned",0.5,10
"CFS","8221","misaligned",0.3,10
"CFS","8222","aligned",0.5,10
"CFS","8222","misaligned",0.2,10
"CFS","8223","aligned",0.6,10
"CFS","8223","misaligned",0.6,10
"CFS","8224","aligned",0.4,10
"CFS","8224","misaligned",0.3,10
"CFS","8225","aligned",0.5,10
"CFS","8225","misaligned",0.6,10
"CFS","8227","aligned",0.3,10
"CFS","8227","misaligned",0.6,10
"CFS","8228","aligned",0.5,10
"CFS","8228","misaligned",0.5,10
"CFS","8229","aligned",0.4,10
"CFS","8229","misaligned",0.7,10
"CFS","8230","aligned",0.3,10
"CFS","8230","misaligned",0.3,10
"CFS","8233","aligned",0.7,10
"CFS","8233","misaligned",0.4,10
"CFS","8234","aligned",0.6,10
"CFS","8234","misaligned",0.9,10
"monocular","8201","aligned",0.4,10
"monocular","8201","misaligned",0.4,10
"monocular","8202","aligned",0.5,10
"monocular","8202","misaligned",0.4,10
"monocular","8203","aligned",0.8,10
"monocular","8203","misaligned",0.4,10
"monocular","8204","aligned",0.5,10
"monocular","8204","misaligned",0.7,10
"monocular","8205","aligned",0.8,10
"monocular","8205","misaligned",0.4,10
"monocular","8206","aligned",0.3,10
"monocular","8206","misaligned",0.4,10
"monocular","8207","aligned",0.8,10
"monocular","8207","misaligned",0.6,10
"monocular","8208","aligned",0.7,10
"monocular","8208","misaligned",0.5,10
"monocular","8209","aligned",0.8,10
"monocular","8209","misaligned",0.5,10
"monocular","8210","aligned",0.5,10
"monocular","8210","misaligned",0.3,10
"monocular","8212","aligned",0.7,10
"monocular","8212","misaligned",0.5,10
"monocular","8213","aligned",0.8,10
"monocular","8213","misaligned",0.3,10
"monocular","8214","aligned",0.5,10
"monocular","8214","misaligned",0.4,10
"monocular","8215","aligned",0.6,10
"monocular","8215","misaligned",0.4,10
"monocular","8216","aligned",0.4,10
"monocular","8216","misaligned",0.4,10
"monocular","8217","aligned",0.4,10
"monocular","8217","misaligned",0.6,10
"monocular","8218","aligned",0.8,10
"monocular","8218","misaligned",0.4,10
"monocular","8221","aligned",0.4,10
"monocular","8221","misaligned",0.7,10
"monocular","8222","aligned",0.7,10
"monocular","8222","misaligned",0.7,10
"monocular","8223","aligned",0.3,10
"monocular","8223","misaligned",0.3,10
"monocular","8224","aligned",0.3,10
"monocular","8224","misaligned",0.5,10
"monocular","8225","aligned",0.3,10
"monocular","8225","misaligned",0.4,10
"monocular","8227","aligned",0.6,10
"monocular","8227","misaligned",0.4,10
