"Participant","CFS.aligned","CFS.misaligned","monocular.aligned","monocular.misaligned","CatchOnly.aligned","CatchOnly.misaligned"
"8201",0.5,0.3,0.4,0.4,1,0.7
"8202",0.6,0.4,0.5,0.4,0.9,0.85
"8203",0.7,0.7,0.8,0.4,1,0.9
"8204",1,0.5,0.5,0.7,0.8,0.55
"8205",0.4,0.7,0.8,0.4,0.9,0.8
"8206",0.7,0.5,0.3,0.4,1,0.9
"8207",0.6,0.4,0.8,0.6,0.85,0.85
"8208",0.8,0.5,0.7,0.5,0.9,0.894736842105263
"8209",0.6,0.3,0.8,0.5,0.9,0.95
"8210",0.9,0.7,0.5,0.3,0.75,0.7
"8212",0.6,0.4,0.7,0.5,0.85,0.8
"8213",0.5,0.4,0.8,0.3,0.9,0.95
"8214",0.3,0.5,0.5,0.4,0.75,0.85
"8215",0.4,0.1,0.6,0.4,0.85,0.6
"8216",0.1,0.2,0.4,0.4,0.9,0.65
"8217",0.7,0.6,0.4,0.6,0.7,0.85
"8218",0.2,0.4,0.8,0.4,1,1
"8221",0.5,0.3,0.4,0.7,0.95,0.85
"8222",0.5,0.2,0.7,0.7,0.95,0.95
"8223",0.6,0.6,0.3,0.3,0.7,0.7
"8224",0.4,0.3,0.3,0.5,0.7,0.8
"8225",0.5,0.6,0.3,0.4,0.9,0.8
"8226",0.5,0.5,0.3,0.3,0.75,0.6
"8227",0.3,0.6,0.6,0.4,0.8,0.95
"8228",0.5,0.5,0.5,0.6,0.85,0.95
"8229",0.4,0.7,0.6,0.1,0.8,0.8
"8230",0.3,0.3,0.5,0.5,0.95,1
"8231",0.6,0.3,0.4,0.4,0.75,0.7
"8233",0.7,0.4,0.6,0.3,0.9,0.85
"8234",0.6,0.9,0.4,0.6,0.85,0.75
