"Participant","CFS.aligned","CFS.misaligned","monocular.aligned","monocular.misaligned","CatchOnly.aligned","CatchOnly.misaligned"
"8201",4951.82154411111,3866.1264767,3173.01803188889,2704.55036244444,1398.13494835,1250.7548142
"8202",746.8759504,1461.8493502,2150.1202367,1268.0610467,876.55156855,855.3573216
"8203",3227.3453485,2799.5949901,2232.9077542,2417.0357442,1150.25450042105,967.134531052632
"8204",3179.1473107,1873.7283698,2283.9158079,2378.7083126,1299.74457325,1152.33707025
"8205",2612.66847366667,1947.5547272,2053.2844484,1926.901541,1024.57326475,1230.12193265
"8206",2236.3273022,2436.1127486,2648.4095918,2700.6392858,1028.13239952632,1322.84905305
"8207",4223.2378335,3614.9559911,3780.0085545,3704.0283668,1593.143195,1609.4639127
"8208",1406.7647387,1863.808338,2911.9536713,3030.2892374,887.465622947368,1009.13428942105
"8209",2611.684304,1730.8225877,1857.4576986,1623.4394226,865.5975431,798.767466277778
"8210",1929.275193,1585.4487322,1764.0225536,2267.3600858,870.33831145,748.2276817
"8212",3431.450601,4521.02947922222,3991.690199,4285.35638044444,1827.36735942105,1998.045143
"8213",2475.1191724,2901.6378431,1548.8014618,1650.0727927,1229.0112159,986.518114
"8214",1795.3807543,1780.9738576,2901.7024986,2821.9855372,1076.77872226316,920.77991965
"8215",3032.01079355556,3535.87875655556,3142.0011463,3525.6957835,1679.6715828,1913.09141285
"8216",1701.28605555556,1968.9404641,2900.6423911,3838.41876222222,1115.8313654,1314.9606092
"8217",981.2820017,1071.707792,863.5373976,919.1869491,810.744868,818.1499951
"8218",1643.3339058,2011.3468385,2460.3137867,3510.8087581,1161.59873155,1162.41923775
"8221",2611.6295064,2936.1865202,1710.0710332,2456.0183687,1123.01442772222,1004.3280839
"8222",2061.1832321,1999.9054639,2768.8673694,2608.7477487,1271.08795510526,1351.04554905263
"8223",3197.4184998,2135.891279,1850.303539,2211.2941744,1124.65299168421,1267.435969
"8224",1344.5388614,976.9433799,2483.8637105,2111.0985364,1273.10811435,1385.34314225
"8225",4052.609148875,3768.163968,2408.2540144,3087.3013675,1247.96519785,1227.7393681
"8226",724.7963873,811.9386361,1279.7306597,1115.4348298,720.12229075,672.1731771
"8227",3521.4073559,3942.8947846,2662.2920626,3108.7980785,1406.36435935,1234.96432736842
"8228",2397.0099069,2088.7078436,2359.3908325,2435.6322161,836.9759544,981.437556166667
"8229",2510.8811793,2064.8617646,1705.6746206,1670.40108488889,1732.99764755,1435.1824784
"8230",2721.3066474,2441.1644607,3717.7869691,3611.2453733,936.377417052632,910.618323157895
"8231",3565.6987096,3416.3240311,2654.3548939,2884.57038,1478.8525342,1600.74735545
"8233",2004.9379264,3068.9752702,1549.4723634,1600.5226753,1141.3603832,1142.4342218
"8234",2459.1105408,2778.88604722222,2131.6816029,2053.6027442,1077.90499935,1038.41209657895
