"Viewing","Participant","Congruency","Alignment","RT","Count"
"CFS","8201","congruent","aligned",730.714734450704,71
"CFS","8201","congruent","misaligned",766.284467266667,75
"CFS","8201","incongruent","aligned",809.765961820896,67
"CFS","8201","incongruent","misaligned",858.717077138889,72
"CFS","8202","congruent","aligned",711.886645716216,74
"CFS","8202","congruent","misaligned",685.523142527778,72
"CFS","8202","incongruent","aligned",697.560660666667,63
"CFS","8202","incongruent","misaligned",704.365333940299,67
"CFS","8203","congruent","aligned",860.368984647059,68
"CFS","8203","congruent","misaligned",930.961253986111,72
"CFS","8203","incongruent","aligned",922.306269753425,73
"CFS","8203","incongruent","misaligned",861.914828217391,69
"CFS","8204","congruent","aligned",598.193993014925,67
"CFS","8204","congruent","misaligned",559.085806071429,56
"CFS","8204","incongruent","aligned",557.018318133333,60
"CFS","8204","incongruent","misaligned",598.270399967742,62
"CFS","8205","congruent","aligned",827.293262633803,71
"CFS","8205","congruent","misaligned",773.98299438961,77
"CFS","8205","incongruent","aligned",802.263144527778,72
"CFS","8205","incongruent","misaligned",707.726642445946,74
"CFS","8206","congruent","aligned",622.535210473684,76
"CFS","8206","congruent","misaligned",598.153612946667,75
"CFS","8206","incongruent","aligned",605.23656996,75
"CFS","8206","incongruent","misaligned",574.429202466667,75
"CFS","8207","congruent","aligned",927.999249152778,72
"CFS","8207","congruent","misaligned",878.901841558824,68
"CFS","8207","incongruent","aligned",855.689791040541,74
"CFS","8207","incongruent","misaligned",816.641467277778,72
"CFS","8208","congruent","aligned",527.028728191176,68
"CFS","8208","congruent","misaligned",504.864533382353,68
"CFS","8208","incongruent","aligned",518.960070362319,69
"CFS","8208","incongruent","misaligned",601.247860507042,71
"CFS","8209","congruent","aligned",633.067716197183,71
"CFS","8209","congruent","misaligned",643.439137824324,74
"CFS","8209","incongruent","aligned",672.908135724638,69
"CFS","8209","incongruent","misaligned",629.047859779221,77
"CFS","8210","congruent","aligned",774.388907971429,70
"CFS","8210","congruent","misaligned",689.601325536232,69
"CFS","8210","incongruent","aligned",746.676754534483,58
"CFS","8210","incongruent","misaligned",655.497273257576,66
"CFS","8212","congruent","aligned",820.971711642857,70
"CFS","8212","congruent","misaligned",829.501219808219,73
"CFS","8212","incongruent","aligned",885.819184676471,68
"CFS","8212","incongruent","misaligned",761.738478197183,71
"CFS","8213","congruent","aligned",661.063310424658,73
"CFS","8213","congruent","misaligned",673.547824569444,72
"CFS","8213","incongruent","aligned",685.360521901408,71
"CFS","8213","incongruent","misaligned",659.024317338028,71
"CFS","8214","congruent","aligned",535.55264928169,71
"CFS","8214","congruent","misaligned",552.050893367647,68
"CFS","8214","incongruent","aligned",516.204117772727,66
"CFS","8214","incongruent","misaligned",579.489043945205,73
"CFS","8215","congruent","aligned",933.0028783,60
"CFS","8215","congruent","misaligned",937.388789692308,65
"CFS","8215","incongruent","aligned",949.354615306452,62
"CFS","8215","incongruent","misaligned",943.413187830508,59
"CFS","8216","congruent","aligned",625.797689129032,62
"CFS","8216","congruent","misaligned",691.534024862069,58
