"Participant","CFS.congruent.aligned","CFS.congruent.misaligned","CFS.incongruent.aligned","CFS.incongruent.misaligned","monocular.congruent.aligned","monocular.congruent.misaligned","monocular.incongruent.aligned","monocular.incongruent.misaligned"
"8201",730.714734450704,766.284467266667,809.765961820896,858.717077138889,789.158104088235,823.359449983871,819.040071890625,904.64917425
"8202",711.886645716216,685.523142527778,697.560660666667,704.365333940299,815.768372140845,876.341846016129,872.027236734375,832.615161035088
"8203",860.368984647059,930.961253986111,922.306269753425,861.914828217391,782.888683445946,789.812345402597,841.917832098591,806.551825180556
"8204",598.193993014925,559.085806071429,557.018318133333,598.270399967742,557.689723017241,559.67610722807,604.638619071429,576.044129053571
"8205",827.293262633803,773.98299438961,802.263144527778,707.726642445946,632.686079192308,648.2228535,667.935974342105,648.187935986842
"8206",622.535210473684,598.153612946667,605.23656996,574.429202466667,677.620525394737,701.319581056338,736.020328232877,696.150641960526
"8207",927.999249152778,878.901841558824,855.689791040541,816.641467277778,681.230485710526,730.749836486842,733.676813058824,704.709753027027
"8208",527.028728191176,504.864533382353,518.960070362319,601.247860507042,706.194295106667,710.072217055556,778.332176171429,698.007382013699
"8209",633.067716197183,643.439137824324,672.908135724638,629.047859779221,544.317727723684,561.177115493151,629.38011384375,567.293549157895
"8210",774.388907971429,689.601325536232,746.676754534483,655.497273257576,694.358086652174,682.593582716418,743.590139491803,622.076237515625
"8212",820.971711642857,829.501219808219,885.819184676471,761.738478197183,1192.80601705556,1218.570379875,977.609780523809,1201.96958983607
"8213",661.063310424658,673.547824569444,685.360521901408,659.024317338028,692.438229733333,641.792141,708.245124553846,696.748137013889
"8214",535.55264928169,552.050893367647,516.204117772727,579.489043945205,678.911779617647,635.122802166667,695.406273815789,683.462806828571
"8215",933.0028783,937.388789692308,949.354615306452,943.413187830508,832.199586044118,820.387847723077,974.5157918,1013.0495842623
"8216",625.797689129032,691.534024862069,653.13103525,668.504131101695,920.151804238095,796.813241915254,880.924873865385,870.982466870968
"8217",554.669809191176,572.739775735294,562.610054186441,559.586146870968,513.905195791045,515.878030258621,524.813859890909,497.49231995082
"8218",714.592870958333,709.457127484848,783.207808275362,739.907866651515,677.640406521127,713.332235535211,794.999230294118,722.130817144928
"8220",469.39664331746,476.803820850746,485.822223101449,493.07133115942,272.448597595238,315.801840018519,334.19136755,308.909482904762
"8221",621.16453857971,711.197108277778,671.303266164179,657.335781149254,618.94328872973,619.636611911765,659.226142758064,624.623845924242
"8222",683.764619986667,633.617621586667,638.137911413333,626.947181144737,725.913325293333,851.669267957746,900.137041352113,772.902272041096
"8223",943.889674470588,941.238939954545,898.437571485294,917.036694365079,823.382796613333,874.177998597222,928.88690904054,829.462307890625
"8224",683.740338608696,701.374905760563,679.976387695652,664.963596014084,741.269270013333,719.56490075,775.491120686567,698.432796343284
"8225",643.835464617647,686.652313647887,642.729189013333,689.768277135135,592.496930472222,581.622749369231,673.695629211268,571.030582438356
"8227",781.789866984615,846.439817652778,899.411207651515,837.892013971429,762.196499927536,708.907258650794,789.87865759375,764.051436968254
"8228",519.607017180556,538.433747112676,581.347122093333,574.036194,587.69853684,590.849749324324,650.221591123288,646.742256621622
"8229",777.160862047619,796.757698619048,845.9693898125,802.143305534483,702.257259771429,665.931182462687,722.25097058209,696.8481795
"8230",825.482001788732,784.70761319403,985.311610380282,887.108131314286,857.734155647059,793.072500544118,812.412961742424,872.940053758065
"8231",863.975731944444,808.914306088235,858.881863068493,840.414517970149,736.868646378788,697.813226426471,773.858920292308,689.006755890625
"8233",547.633615323944,555.198207680555,556.758893628571,565.478904791045,478.507994197183,493.175730084507,494.878866015385,497.445006671875
"8234",823.690216055556,700.69562272,791.319142338028,762.783185486842,737.175939986111,711.31796648,800.741416842857,736.348764613333
