"Viewing","Participant","Congruency","Alignment","dprime","Count"
"CFS","1101","congruent","aligned",1.45898980378152,40
"CFS","1101","congruent","misaligned",1.27981553906851,40
"CFS","1101","incongruent","aligned",1.35507275345816,40
"CFS","1101","incongruent","misaligned",1.28978049262959,40
"CFS","1102","congruent","aligned",2.68128701644526,40
"CFS","1102","congruent","misaligned",2.72108303648306,40
"CFS","1102","incongruent","aligned",2.72108303648306,40
"CFS","1102","incongruent","misaligned",2.87906294187691,40
"CFS","1103","congruent","aligned",3.39949545547851,40
"CFS","1103","congruent","misaligned",3.52295429314955,40
"CFS","1103","incongruent","aligned",2.79520300732748,40
"CFS","1103","incongruent","misaligned",3.6809341985434,40
"CFS","1104","congruent","aligned",2.71537901090052,40
"CFS","1104","congruent","misaligned",2.57944291802495,40
"CFS","1104","incongruent","aligned",1.96349299091585,40
"CFS","1104","incongruent","misaligned",2.99681775396542,40
"CFS","1105","congruent","aligned",3.28970725390294,40
"CFS","1105","congruent","misaligned",3.91992796908011,40
"CFS","1105","incongruent","aligned",3.39949545547851,40
"CFS","1105","incongruent","misaligned",3.27783611709874,40
"CFS","1106","congruent","aligned",1.97102268056727,40
"CFS","1106","congruent","misaligned",2.28115270451137,40
"CFS","1106","incongruent","aligned",1.71092313968987,40
"CFS","1106","incongruent","misaligned",1.74810950641849,40
"CFS","1108","congruent","aligned",3.6809341985434,40
"CFS","1108","congruent","misaligned",3.28970725390294,40
"CFS","1108","incongruent","aligned",3.39949545547851,40
"CFS","1108","incongruent","misaligned",2.92640519249607,40
"CFS","1110","congruent","aligned",3.88625635455642,40
"CFS","1110","congruent","misaligned",3.39949545547851,40
"CFS","1110","incongruent","aligned",3.24151555008465,40
"CFS","1110","incongruent","misaligned",3.6809341985434,40
"CFS","1112","congruent","aligned",2.92640519249607,40
"CFS","1112","congruent","misaligned",2.21614085661808,40
"CFS","1112","incongruent","aligned",2.68128701644526,40
"CFS","1112","incongruent","misaligned",2.99639737403384,40
"CFS","1113","congruent","aligned",1.67474989308405,40
"CFS","1113","congruent","misaligned",1.60411157054589,40
"CFS","1113","incongruent","aligned",1.34897950039216,40
"CFS","1113","incongruent","misaligned",0.871882513130266,40
"CFS","1114","congruent","aligned",2.58988085131446,40
"CFS","1114","congruent","misaligned",2.87906294187691,40
"CFS","1114","incongruent","aligned",2.08493867144949,40
"CFS","1114","incongruent","misaligned",2.47596486043225,40
"CFS","1115","congruent","aligned",1.86917858214696,40
"CFS","1115","congruent","misaligned",2.72108303648306,40
"CFS","1115","incongruent","aligned",1.77621052464639,40
"CFS","1115","incongruent","misaligned",1.97102268056727,40
"CFS","1116","congruent","aligned",2.58988085131446,40
"CFS","1116","congruent","misaligned",3.08438509788993,40
"CFS","1116","incongruent","aligned",3.08438509788993,40
"CFS","1116","incongruent","misaligned",2.99639737403384,40
"CFS","1118","congruent","aligned",3.11031336491606,40
"CFS","1118","congruent","misaligned",2.80158521811297,40
"CFS","1118","incongruent","aligned",2.11402122113454,40
"CFS","1118","incongruent","misaligned",2.48647486052439,40
"CFS","1120","congruent","aligned",2.48647486052439,40
"CFS","1120","congruent","misaligned",1.97102268056727,40
"CFS","1120","incongruent","aligned",2.63445373473614,40
"CFS","1120","incongruent","misaligned",2.31798495503839,40
"monocular","1101","congruent","aligned",2.14908241081285,40
"monocular","1101","congruent","misaligned",2.24261375299395,40
"monocular","1101","incongruent","aligned",1.21884478760139,40
"monocular","1101","incongruent","misaligned",1.47066999181739,40
"monocular","1102","congruent","aligned",3.91992796908011,40
"monocular","1102","congruent","misaligned",3.88625635455642,40
"monocular","1102","incongruent","aligned",2.72108303648306,40
"monocular","1102","incongruent","misaligned",3.28970725390294,40
"monocular","1103","congruent","aligned",2.47596486043225,40
"monocular","1103","congruent","misaligned",2.40026865331194,40
"monocular","1103","incongruent","aligned",1.99197061394892,40
