"Viewing","Participant","aligned","misaligned"
"CFS","1205",0.9,0.95
"CFS","1206",0.9,0.95
"CFS","1207",0.7,0.825
"CFS","1208",1,1
"CFS","1209",1,0.925
"CFS","1210",0.85,0.825
"CFS","1211",0.95,1
"CFS","1212",0.975,1
"CFS","1214",0.925,0.975
"CFS","1215",0.9,0.85
"CFS","1216",0.85,0.8
"CFS","1217",0.875,0.975
"CFS","1218",0.975,0.9
"CFS","1219",0.925,0.95
"CFS","1220",0.925,0.975
"CFS","1221",0.875,0.9
"CFS","1222",0.475,0.5
"CFS","1223",0.975,0.95
"CFS","1224",1,1
"CFS","1225",0.95,0.975
"CFS","1226",0.675,0.775
"CFS","1227",0.9,0.9
"CFS","1228",0.85,0.8
"CFS","1229",0.9,0.825
"CFS","1230",0.525,0.725
"CFS","1231",0.925,0.975
"CFS","1232",0.6,0.775
"CFS","1233",0.875,0.925
"CFS","1234",0.95,1
"CFS","1235",0.725,0.825
"monocular","1205",0.8,0.85
"monocular","1206",0.975,0.975
"monocular","1207",0.6,0.875
"monocular","1208",0.775,1
"monocular","1209",0.975,0.95
"monocular","1210",0.9,0.925
"monocular","1211",0.925,1
"monocular","1212",0.825,0.95
"monocular","1214",0.95,1
"monocular","1215",0.9,0.975
"monocular","1216",0.875,0.85
"monocular","1217",0.95,1
"monocular","1218",0.925,0.85
"monocular","1219",0.95,1
"monocular","1220",0.925,0.975
"monocular","1221",0.725,0.925
"monocular","1222",0.461538461538462,0.684210526315789
"monocular","1223",0.95,0.95
"monocular","1224",0.95,0.975
"monocular","1225",1,0.975
"monocular","1226",0.675,0.95
"monocular","1227",1,1
"monocular","1228",0.9,0.875
"monocular","1229",0.9,0.925
"monocular","1230",0.575,0.75
"monocular","1231",1,1
"monocular","1232",0.65,0.8
"monocular","1233",0.9,0.9
"monocular","1234",0.925,0.875
"monocular","1235",0.75,0.975
