"Viewing","Participant","Alignment","RT","Count"
"CFS","1205","aligned",3703.30703919831,2
"CFS","1205","misaligned",3172.67719458517,2
"CFS","1206","aligned",4623.96118637491,3
"CFS","1206","misaligned",3219.15875299601,4
"CFS","1207","aligned",3820.38648658083,3
"CFS","1207","misaligned",2512.12100475778,2
"CFS","1208","misaligned",2087.92589424275,2
"monocular","1205","aligned",2373.62682857148,3
"monocular","1205","misaligned",1822.29452966825,3
"monocular","1206","aligned",3892.19310958879,3
"monocular","1206","misaligned",2155.38947919458,2
"monocular","1207","aligned",3386.02248951748,2
"monocular","1207","misaligned",7478.53795897288,2
"monocular","1208","misaligned",3758.01118488244,2
"CatchOnly","1205","aligned",2098.00909317467,6
"CatchOnly","1205","misaligned",2398.17212707628,9
"CatchOnly","1206","aligned",2292.24105764241,9
"CatchOnly","1206","misaligned",1213.68493354567,8
"CatchOnly","1207","aligned",1892.02328672673,10
"CatchOnly","1207","misaligned",2011.48670846117,7
"CatchOnly","1208","aligned",808.583760633545,7
"CatchOnly","1208","misaligned",1051.36008889076,8
