ExpCode,Participant,CFS_Cover,WithCatch,CFS.aligned,CFS.misaligned,monocular.aligned,monocular.misaligned
E1,603,both,0,0.975,0.95,1,1
E1,604,both,0,0.925,0.9,1,0.9
E1,605,both,0,0.825,0.925,0.85,0.95
E1,606,both,0,0.925,0.925,0.725,0.925
E1,607,both,0,0.85,0.7,0.75,0.775
E1,608,both,0,0.825,0.85,0.7,0.9
E1,609,both,0,0.675,0.875,0.375,0.775
E1,610,both,0,0.975,0.925,0.975,1
E1,611,both,0,0.8,0.85,0.775,0.825
E1,612,both,0,0.575,0.725,0.55,0.825
E1,613,both,0,0.975,0.875,0.8,0.925
E1,614,both,0,0.975,0.9,1,0.975
E1,615,both,0,0.9,0.95,0.925,0.975
E1,616,both,0,0.875,0.975,0.85,0.925
E1,617,both,0,1,0.85,0.95,0.975
E1,618,both,0,0.9,0.95,0.775,0.9
E1,619,both,0,0.95,0.85,0.95,0.925
E1,620,both,0,0.725,0.875,0.75,0.85
E1,621,both,0,0.825,0.85,0.775,0.9
E1,622,both,0,0.975,0.95,1,0.95
E2,8201,both,1,0.85,0.925,0.775,0.825
E2,8202,both,1,0.675,0.85,0.875,0.85
E2,8203,both,1,0.875,0.875,0.875,0.925
E2,8204,both,1,0.825,0.875,0.775,0.925
E2,8205,both,1,0.925,0.925,0.975,0.975
E2,8206,both,1,0.95,1,0.9,0.975
E2,8207,both,1,0.95,0.925,0.85,1
E2,8208,both,1,0.85,0.925,0.825,0.95
E2,8209,both,1,0.925,0.975,0.925,1
E2,8210,both,1,0.7,0.75,0.775,0.85
E2,8212,both,1,0.85,0.875,0.8,0.75
E2,8213,both,1,0.925,0.9,0.85,0.925
E2,8214,both,1,0.95,0.975,0.95,0.95
E2,8215,both,1,0.85,0.85,0.775,0.875
E2,8216,both,1,0.875,0.9,0.925,0.925
E2,8217,both,1,0.75,0.725,0.85,0.925
E2,8218,both,1,0.85,0.825,0.825,0.975
E2,8221,both,1,0.925,0.9,0.975,0.975
E2,8222,both,1,1,0.975,0.875,0.975
E2,8223,both,1,0.85,0.85,0.9,0.85
E2,8224,both,1,0.825,0.875,0.85,0.9
E2,8225,both,1,0.95,0.975,0.975,0.975
E2,8226,both,1,0.625,0.7567567567567568,0.6923076923076923,0.75
E2,8227,both,1,0.825,0.825,0.875,0.9
E2,8228,both,1,1,0.95,1,1
E2,8229,both,1,0.9,0.775,0.925,1
E2,8230,both,1,1,0.95,1,1
E2,8231,both,1,0.95,0.875,1,0.975
E2,8233,both,1,0.85,0.9,0.85,0.85
E2,8234,both,1,0.925,0.975,0.875,0.925
