"Participant","CFS.aligned","CFS.misaligned","monocular.aligned","monocular.misaligned"
"1101",0.85,0.85,0.9,0.9
"1102",0.925,0.925,0.9,0.95
"1103",0.875,0.925,0.875,0.925
"1104",0.625,0.775,0.65,0.825
"1105",0.975,0.85,0.9,0.925
"1106",0.85,0.875,0.875,0.85
"1108",0.975,0.9,0.9,0.975
"1109",0.675,0.625,0.575,0.6
"1110",0.975,1,0.925,1
"1111",0.8,0.975,0.743589743589744,0.925
"1112",0.95,0.975,0.7,0.975
"1113",0.75,0.825,0.775,0.725
"1114",0.825,0.85,0.625,0.95
"1115",0.8,0.825,0.9,0.925
"1116",0.95,0.975,0.875,0.975
"1118",0.925,0.95,0.975,0.85
"1119",0.85,0.875,0.85,0.975
"1120",0.75,0.85,0.725,0.925
"1121",0.825,0.923076923076923,0.95,0.95
"1122",0.8,0.82051282051282,0.975,0.975
"1205",0.9,0.95,0.8,0.85
"1206",0.9,0.95,0.975,0.975
"1207",0.7,0.825,0.6,0.875
"1208",1,1,0.775,1
"1209",1,0.925,0.975,0.95
"1210",0.85,0.825,0.9,0.925
"1211",0.95,1,0.925,1
"1212",0.975,1,0.825,0.95
"1214",0.925,0.975,0.95,1
"1215",0.9,0.85,0.9,0.975
"1216",0.85,0.8,0.875,0.85
"1217",0.875,0.975,0.95,1
"1218",0.975,0.9,0.925,0.85
"1219",0.925,0.95,0.95,1
"1220",0.925,0.975,0.925,0.975
"1221",0.875,0.9,0.725,0.925
"1222",0.475,0.5,0.461538461538462,0.684210526315789
"1223",0.975,0.95,0.95,0.95
"1224",1,1,0.95,0.975
"1225",0.95,0.975,1,0.975
"1226",0.675,0.775,0.675,0.95
"1227",0.9,0.9,1,1
"1228",0.85,0.8,0.9,0.875
"1229",0.9,0.825,0.9,0.925
"1230",0.525,0.725,0.575,0.75
"1231",0.925,0.975,1,1
"1232",0.6,0.775,0.65,0.8
"1233",0.875,0.925,0.9,0.9
"1234",0.95,1,0.925,0.875
"1235",0.725,0.825,0.75,0.975
