ExpCode,Participant,CFS_Cover,WithCatch,CFS.aligned,CFS.misaligned,monocular.aligned,monocular.misaligned
E1,603,both,0,0.975,0.95,1,1
E1,604,both,0,0.925,0.9,1,0.9
E1,605,both,0,0.825,0.925,0.85,0.95
E1,606,both,0,0.925,0.925,0.725,0.925
E1,607,both,0,0.85,0.7,0.75,0.775
E1,608,both,0,0.825,0.85,0.7,0.9
E1,609,both,0,0.675,0.875,0.375,0.775
E1,610,both,0,0.975,0.925,0.975,1
E1,611,both,0,0.8,0.85,0.775,0.825
E1,612,both,0,0.575,0.725,0.55,0.825
E1,613,both,0,0.975,0.875,0.8,0.925
E1,614,both,0,0.975,0.9,1,0.975
E1,615,both,0,0.9,0.95,0.925,0.975
E1,616,both,0,0.875,0.975,0.85,0.925
E1,617,both,0,1,0.85,0.95,0.975
E1,618,both,0,0.9,0.95,0.775,0.9
E1,619,both,0,0.95,0.85,0.95,0.925
E1,620,both,0,0.725,0.875,0.75,0.85
E1,621,both,0,0.825,0.85,0.775,0.9
E1,622,both,0,0.975,0.95,1,0.95
E2,8201,both,1,0.85,0.925,0.775,0.825
E2,8202,both,1,0.675,0.85,0.875,0.85
E2,8203,both,1,0.875,0.875,0.875,0.925
E2,8204,both,1,0.825,0.875,0.775,0.925
E2,8205,both,1,0.925,0.925,0.975,0.975
E2,8206,both,1,0.95,1,0.9,0.975
E2,8207,both,1,0.95,0.925,0.85,1
E2,8208,both,1,0.85,0.925,0.825,0.95
E2,8209,both,1,0.925,0.975,0.925,1
E2,8210,both,1,0.7,0.75,0.775,0.85
E2,8212,both,1,0.85,0.875,0.8,0.75
E2,8213,both,1,0.925,0.9,0.85,0.925
E2,8214,both,1,0.95,0.975,0.95,0.95
E2,8215,both,1,0.85,0.85,0.775,0.875
E2,8216,both,1,0.875,0.9,0.925,0.925
E2,8217,both,1,0.75,0.725,0.85,0.925
E2,8218,both,1,0.85,0.825,0.825,0.975
E2,8221,both,1,0.925,0.9,0.975,0.975
E2,8222,both,1,1,0.975,0.875,0.975
E2,8223,both,1,0.85,0.85,0.9,0.85
E2,8224,both,1,0.825,0.875,0.85,0.9
E2,8225,both,1,0.95,0.975,0.975,0.975
E2,8226,both,1,0.625,0.7567567567567568,0.6923076923076923,0.75
E2,8227,both,1,0.825,0.825,0.875,0.9
E2,8228,both,1,1,0.95,1,1
E2,8229,both,1,0.9,0.775,0.925,1
E2,8230,both,1,1,0.95,1,1
E2,8231,both,1,0.95,0.875,1,0.975
E2,8233,both,1,0.85,0.9,0.85,0.85
E2,8234,both,1,0.925,0.975,0.875,0.925
E3,1101,test,0,0.85,0.85,0.9,0.9
E3,1102,test,0,0.925,0.925,0.9,0.95
E3,1103,test,0,0.875,0.925,0.875,0.925
E3,1104,test,0,0.625,0.775,0.65,0.825
E3,1105,test,0,0.975,0.85,0.9,0.925
E3,1106,test,0,0.85,0.875,0.875,0.85
E3,1108,test,0,0.975,0.9,0.9,0.975
E3,1109,test,0,0.675,0.625,0.575,0.6
E3,1110,test,0,0.975,1,0.925,1
E3,1111,test,0,0.8,0.975,0.7435897435897436,0.925
E3,1112,test,0,0.95,0.975,0.7,0.975
E3,1113,test,0,0.75,0.825,0.775,0.725
E3,1114,test,0,0.825,0.85,0.625,0.95
E3,1115,test,0,0.8,0.825,0.9,0.925
E3,1116,test,0,0.95,0.975,0.875,0.975
E3,1118,test,0,0.925,0.95,0.975,0.85
E3,1119,test,0,0.85,0.875,0.85,0.975
E3,1120,test,0,0.75,0.85,0.725,0.925
E3,1121,test,0,0.825,0.9230769230769231,0.95,0.95
E3,1122,test,0,0.8,0.8205128205128205,0.975,0.975
E4,1205,test,1,0.9,0.95,0.8,0.85
E4,1206,test,1,0.9,0.95,0.975,0.975
E4,1207,test,1,0.7,0.825,0.6,0.875
E4,1208,test,1,1,1,0.775,1
E4,1209,test,1,1,0.925,0.975,0.95
E4,1210,test,1,0.85,0.825,0.9,0.925
E4,1211,test,1,0.95,1,0.925,1
E4,1212,test,1,0.975,1,0.825,0.95
E4,1214,test,1,0.925,0.975,0.95,1
E4,1215,test,1,0.9,0.85,0.9,0.975
E4,1216,test,1,0.85,0.8,0.875,0.85
E4,1217,test,1,0.875,0.975,0.95,1
E4,1218,test,1,0.975,0.9,0.925,0.85
E4,1219,test,1,0.925,0.95,0.95,1
E4,1220,test,1,0.925,0.975,0.925,0.975
E4,1221,test,1,0.875,0.9,0.725,0.925
E4,1222,test,1,0.475,0.5,0.46153846153846156,0.6842105263157895
E4,1223,test,1,0.975,0.95,0.95,0.95
E4,1224,test,1,1,1,0.95,0.975
E4,1225,test,1,0.95,0.975,1,0.975
E4,1226,test,1,0.675,0.775,0.675,0.95
E4,1227,test,1,0.9,0.9,1,1
E4,1228,test,1,0.85,0.8,0.9,0.875
E4,1229,test,1,0.9,0.825,0.9,0.925
E4,1230,test,1,0.525,0.725,0.575,0.75
E4,1231,test,1,0.925,0.975,1,1
E4,1232,test,1,0.6,0.775,0.65,0.8
E4,1233,test,1,0.875,0.925,0.9,0.9
E4,1234,test,1,0.95,1,0.925,0.875
E4,1235,test,1,0.725,0.825,0.75,0.975
