"Participant","CFS.aligned","CFS.misaligned","monocular.aligned","monocular.misaligned"
"1101",1259.89184895974,1084.82708019321,822.907250787163,1011.50741544331
"1102",893.84783574344,760.343749629556,654.687254422343,631.448736592928
"1103",759.098964359884,783.302249269361,603.38709886971,716.834827738845
"1104",929.508165658445,806.348665912706,884.480969827113,787.80512365746
"1105",667.437745861625,636.06417369757,762.648586837947,719.577173763847
"1106",732.905228493698,637.278783254858,890.822878366448,855.588037108343
"1108",630.960445989684,573.847575473935,676.245891204677,578.886618771533
"1109",936.992771393205,868.14125163563,695.475562378327,721.00363742832
"1110",472.353358359597,456.039389896642,645.49588804309,538.865050993718
"1111",808.696091682467,730.172554760968,732.88014873042,595.566291159571
"1112",436.672035692764,445.738439380809,497.533239556432,448.072676023392
"1113",874.250318279256,874.646342777374,974.327356712607,915.076932586913
"1114",481.251358362732,416.554960533149,542.74588906821,488.520320375166
"1115",785.768166601267,819.089734130102,628.588130118765,675.947006879142
"1116",634.93068155311,653.510309951373,618.732858168294,629.870041175381
"1118",678.640166737504,668.300690048088,871.662788648127,823.205939493602
"1119",582.3344205652,548.426141365729,526.650628588841,488.946596685405
"1120",511.040726726696,438.602774262616,570.528009854899,511.609906910356
"1121",709.252127750709,605.531211462016,633.037954448668,601.118398796871
"1122",665.628508073773,744.793501698115,527.673917612068,531.515583473881
